recording_id,well,condition_code,condition_label
Catamaran_pH_2a_t1a,1,0,exploratory
Catamaran_pH_2a_t1a,2,0,exploratory
Catamaran_pH_2a_t1a,3,0,exploratory
Catamaran_pH_2a_t1a,4,0,exploratory
Catamaran_pH_2a_t1a,5,0,exploratory
Catamaran_pH_2a_t1a,6,0,exploratory
Catamaran_pH_2a_t1a,7,4,bad_data
Catamaran_pH_2a_t1a,8,3,double_sharp_pH
Catamaran_pH_2a_t1a,9,3,double_sharp_pH
Catamaran_pH_2a_t1a,10,3,double_sharp_pH
Catamaran_pH_2a_t1a,11,3,double_sharp_pH
Catamaran_pH_2a_t1a,12,3,double_sharp_pH
Catamaran_pH_2a_t2,1,0,exploratory
Catamaran_pH_2a_t2,2,0,exploratory
Catamaran_pH_2a_t2,3,0,exploratory
Catamaran_pH_2a_t2,4,0,exploratory
Catamaran_pH_2a_t2,5,0,exploratory
Catamaran_pH_2a_t2,6,0,exploratory
Catamaran_pH_2a_t2,7,3,double_sharp_pH
Catamaran_pH_2a_t2,8,3,double_sharp_pH
Catamaran_pH_2a_t2,9,3,double_sharp_pH
Catamaran_pH_2a_t2,10,3,double_sharp_pH
Catamaran_pH_2a_t2,11,3,double_sharp_pH
Catamaran_pH_2a_t2,12,3,double_sharp_pH
Catamaran_pH_2a_t3,1,0,exploratory
Catamaran_pH_2a_t3,2,0,exploratory
Catamaran_pH_2a_t3,3,0,exploratory
Catamaran_pH_2a_t3,4,0,exploratory
Catamaran_pH_2a_t3,5,0,exploratory
Catamaran_pH_2a_t3,6,0,exploratory
Catamaran_pH_2a_t3,7,3,double_sharp_pH
Catamaran_pH_2a_t3,8,3,double_sharp_pH
Catamaran_pH_2a_t3,9,3,double_sharp_pH
Catamaran_pH_2a_t3,10,4,bad_data
Catamaran_pH_2a_t3,11,3,double_sharp_pH
Catamaran_pH_2a_t3,12,3,double_sharp_pH
Catamaran_pH_2a_t4,1,0,exploratory
Catamaran_pH_2a_t4,2,0,exploratory
Catamaran_pH_2a_t4,3,0,exploratory
Catamaran_pH_2a_t4,4,0,exploratory
Catamaran_pH_2a_t4,5,0,exploratory
Catamaran_pH_2a_t4,6,0,exploratory
Catamaran_pH_2a_t4,7,3,double_sharp_pH
Catamaran_pH_2a_t4,8,4,bad_data
Catamaran_pH_2a_t4,9,3,double_sharp_pH
Catamaran_pH_2a_t4,10,3,double_sharp_pH
Catamaran_pH_2a_t4,11,3,double_sharp_pH
Catamaran_pH_2a_t4,12,3,double_sharp_pH
Catamaran_pH_2a_t5,1,0,exploratory
Catamaran_pH_2a_t5,2,0,exploratory
Catamaran_pH_2a_t5,3,0,exploratory
Catamaran_pH_2a_t5,4,0,exploratory
Catamaran_pH_2a_t5,5,0,exploratory
Catamaran_pH_2a_t5,6,0,exploratory
Catamaran_pH_2a_t5,7,2,homogeneous_pH
Catamaran_pH_2a_t5,8,2,homogeneous_pH
Catamaran_pH_2a_t5,9,2,homogeneous_pH
Catamaran_pH_2a_t5,10,2,homogeneous_pH
Catamaran_pH_2a_t5,11,2,homogeneous_pH
Catamaran_pH_2a_t5,12,2,homogeneous_pH
Catamaran_pH_2a_t6,1,0,exploratory
Catamaran_pH_2a_t6,2,0,exploratory
Catamaran_pH_2a_t6,3,0,exploratory
Catamaran_pH_2a_t6,4,0,exploratory
Catamaran_pH_2a_t6,5,0,exploratory
Catamaran_pH_2a_t6,6,0,exploratory
Catamaran_pH_2a_t6,7,2,homogeneous_pH
Catamaran_pH_2a_t6,8,2,homogeneous_pH
Catamaran_pH_2a_t6,9,2,homogeneous_pH
Catamaran_pH_2a_t6,10,2,homogeneous_pH
Catamaran_pH_2a_t6,11,2,homogeneous_pH
Catamaran_pH_2a_t6,12,2,homogeneous_pH
Catamaran_pH_2a_t7,1,0,exploratory
Catamaran_pH_2a_t7,2,0,exploratory
Catamaran_pH_2a_t7,3,0,exploratory
Catamaran_pH_2a_t7,4,0,exploratory
Catamaran_pH_2a_t7,5,0,exploratory
Catamaran_pH_2a_t7,6,0,exploratory
Catamaran_pH_2a_t7,7,2,homogeneous_pH
Catamaran_pH_2a_t7,8,2,homogeneous_pH
Catamaran_pH_2a_t7,9,2,homogeneous_pH
Catamaran_pH_2a_t7,10,2,homogeneous_pH
Catamaran_pH_2a_t7,11,2,homogeneous_pH
Catamaran_pH_2a_t7,12,2,homogeneous_pH
Catamaran_pH_1a_t1a,1,0,exploratory
Catamaran_pH_1a_t1a,2,0,exploratory
Catamaran_pH_1a_t1a,3,0,exploratory
Catamaran_pH_1a_t1a,4,3,double_sharp_pH
Catamaran_pH_1a_t1a,5,3,double_sharp_pH
Catamaran_pH_1a_t1a,6,3,double_sharp_pH
Catamaran_pH_1a_t1a,7,3,double_sharp_pH
Catamaran_pH_1a_t1a,8,3,double_sharp_pH
Catamaran_pH_1a_t1a,9,3,double_sharp_pH
Catamaran_pH_1a_t1a,10,0,exploratory
Catamaran_pH_1a_t1a,11,0,exploratory
Catamaran_pH_1a_t1a,12,0,exploratory
Catamaran_pH_1a_t1b,1,0,exploratory
Catamaran_pH_1a_t1b,2,0,exploratory
Catamaran_pH_1a_t1b,3,0,exploratory
Catamaran_pH_1a_t1b,4,3,double_sharp_pH
Catamaran_pH_1a_t1b,5,3,double_sharp_pH
Catamaran_pH_1a_t1b,6,3,double_sharp_pH
Catamaran_pH_1a_t1b,7,3,double_sharp_pH
Catamaran_pH_1a_t1b,8,3,double_sharp_pH
Catamaran_pH_1a_t1b,9,3,double_sharp_pH
Catamaran_pH_1a_t1b,10,0,exploratory
Catamaran_pH_1a_t1b,11,0,exploratory
Catamaran_pH_1a_t1b,12,0,exploratory
Catamaran_pH_1a_t2a,1,0,exploratory
Catamaran_pH_1a_t2a,2,0,exploratory
Catamaran_pH_1a_t2a,3,0,exploratory
