dataset_id,cohort,canonical_fish_id,source_fish_index,valid_bout_count,context_id,context_name,context_mapping_source
DS-005,JM_data,DS005-JM-F000,0,1381,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F001,1,665,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F002,2,2246,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F003,3,2067,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F004,4,2270,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F005,5,2523,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F006,6,1654,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F007,7,1556,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F008,8,1641,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F009,9,1394,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F010,10,1803,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F011,11,1271,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F012,12,2016,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F013,13,2343,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F014,14,2073,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F015,15,1950,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F016,16,1106,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F017,17,2249,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F018,18,1888,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F019,19,1212,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F020,20,979,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F021,21,1408,CTX-09,3 min Light<->Dark(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F022,22,9395,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F023,23,6744,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F024,24,7748,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F025,25,6016,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F026,26,5061,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F027,27,6667,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F028,28,6973,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F029,29,6156,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F030,30,6643,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F031,31,4662,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F032,32,3547,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F033,33,5345,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F034,34,4479,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F035,35,3938,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F036,36,2789,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F037,37,6182,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F038,38,3750,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F039,39,6022,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F040,40,8355,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F041,41,6699,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F042,42,5934,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F043,43,2088,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F044,44,10208,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F045,45,6604,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F046,46,5081,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F047,47,7244,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F048,48,5025,CTX-04,Dark_Transitions(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F049,49,4960,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F050,50,4596,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F051,51,3577,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F052,52,3404,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F053,53,2669,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F054,54,4533,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F055,55,3325,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F056,56,2783,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F057,57,1778,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F058,58,3571,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F059,59,1620,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F060,60,3822,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F061,61,2557,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F062,62,4118,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F063,63,3688,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F064,64,3725,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F065,65,3329,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F066,66,2245,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F067,67,1775,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F068,68,2190,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F069,69,4064,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F070,70,4730,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F071,71,4083,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F072,72,4632,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F073,73,2692,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F074,74,5045,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F075,75,5549,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F076,76,4928,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F077,77,3892,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F078,78,2984,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F079,79,3840,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F080,80,618,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F081,81,3418,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F082,82,4429,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F083,83,4061,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F084,84,4179,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F085,85,4066,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F086,86,3565,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F087,87,3600,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F088,88,3345,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F089,89,2975,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F090,90,2783,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F091,91,2457,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F092,92,4985,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F093,93,4926,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F094,94,3959,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F095,95,3560,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F096,96,2936,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F097,97,2773,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F098,98,4572,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F099,99,4274,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F100,100,4066,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F101,101,4205,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F102,102,5959,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F103,103,4068,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F104,104,3340,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F105,105,3126,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F106,106,3073,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F107,107,5554,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F108,108,5377,CTX-03,Looming(5x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F109,109,2585,CTX-06,Optomotor Response (1x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F110,110,3595,CTX-06,Optomotor Response (1x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
DS-005,JM_data,DS005-JM-F111,111,3006,CTX-06,Optomotor Response (1x5cm),Markov_Fish/Scripts/kmeans_embedding_jm.py
