recording_id,family,partition
191119_Catamaran_pH_2b_t6,pH_2b,train
191119_Catamaran_pH_2b_t8,pH_2b,train
Catamaran_pH_1a_t1a,pH_1a,train
Catamaran_pH_1a_t1b,pH_1a,validation
Catamaran_pH_1a_t1c,pH_1a,train
Catamaran_pH_1a_t2a,pH_1a,train
Catamaran_pH_1a_t2b,pH_1a,train
Catamaran_pH_1a_t2c,pH_1a,validation
Catamaran_pH_1a_t3a,pH_1a,test
Catamaran_pH_1a_t3c,pH_1a,train
Catamaran_pH_1a_t4a,pH_1a,train
Catamaran_pH_1a_t4c,pH_1a,test
Catamaran_pH_2a_t1a,pH_2a,train
Catamaran_pH_2a_t2,pH_2a,train
Catamaran_pH_2a_t3,pH_2a,test
Catamaran_pH_2a_t4,pH_2a,train
Catamaran_pH_2a_t5,pH_2a,train
Catamaran_pH_2a_t6,pH_2a,train
Catamaran_pH_2a_t7,pH_2a,validation
Catamaran_pH_2b_t1,pH_2b,train
Catamaran_pH_2b_t2,pH_2b,train
Catamaran_pH_2b_t3,pH_2b,test
Catamaran_pH_2b_t4,pH_2b,train
Catamaran_pH_2b_t5,pH_2b,validation
Catamaran_pH_2c_t1,pH_2c,train
Catamaran_pH_2c_t2,pH_2c,test
Catamaran_pH_2c_t3,pH_2c,train
Catamaran_pH_2c_t4,pH_2c,train
Catamaran_pH_2c_t5,pH_2c,validation
Catamaran_pH_2c_t6,pH_2c,train
Catamaran_pH_2c_t7,pH_2c,train
Catamaran_pH_2c_t8,pH_2c,train
