dataset_id,canonical_fish_id,source_fish_index,context_id,context_name,partition,split_seed,split_version
DS-005,DS005-JM-F000,0,CTX-09,3 min Light<->Dark(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F001,1,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F002,2,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F003,3,CTX-09,3 min Light<->Dark(5x5cm),test,20260822,v1
DS-005,DS005-JM-F004,4,CTX-09,3 min Light<->Dark(5x5cm),test,20260822,v1
DS-005,DS005-JM-F005,5,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F006,6,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F007,7,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F008,8,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F009,9,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F010,10,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F011,11,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F012,12,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F013,13,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F014,14,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F015,15,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F016,16,CTX-09,3 min Light<->Dark(5x5cm),test,20260822,v1
DS-005,DS005-JM-F017,17,CTX-09,3 min Light<->Dark(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F018,18,CTX-09,3 min Light<->Dark(5x5cm),test,20260822,v1
DS-005,DS005-JM-F019,19,CTX-09,3 min Light<->Dark(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F020,20,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F021,21,CTX-09,3 min Light<->Dark(5x5cm),train,20260822,v1
DS-005,DS005-JM-F022,22,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F023,23,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F024,24,CTX-04,Dark_Transitions(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F025,25,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F026,26,CTX-04,Dark_Transitions(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F027,27,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F028,28,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F029,29,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F030,30,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F031,31,CTX-04,Dark_Transitions(5x5cm),test,20260822,v1
DS-005,DS005-JM-F032,32,CTX-04,Dark_Transitions(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F033,33,CTX-04,Dark_Transitions(5x5cm),test,20260822,v1
DS-005,DS005-JM-F034,34,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F035,35,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F036,36,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F037,37,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F038,38,CTX-04,Dark_Transitions(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F039,39,CTX-04,Dark_Transitions(5x5cm),test,20260822,v1
DS-005,DS005-JM-F040,40,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F041,41,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F042,42,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F043,43,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F044,44,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F045,45,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F046,46,CTX-04,Dark_Transitions(5x5cm),test,20260822,v1
DS-005,DS005-JM-F047,47,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F048,48,CTX-04,Dark_Transitions(5x5cm),train,20260822,v1
DS-005,DS005-JM-F049,49,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F050,50,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F051,51,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F052,52,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F053,53,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F054,54,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F055,55,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F056,56,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F057,57,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F058,58,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F059,59,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F060,60,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F061,61,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F062,62,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F063,63,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F064,64,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F065,65,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F066,66,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F067,67,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F068,68,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F069,69,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F070,70,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F071,71,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F072,72,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F073,73,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F074,74,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F075,75,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F076,76,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F077,77,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F078,78,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F079,79,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F080,80,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F081,81,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F082,82,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F083,83,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F084,84,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F085,85,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F086,86,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F087,87,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F088,88,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F089,89,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F090,90,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F091,91,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F092,92,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F093,93,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F094,94,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F095,95,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F096,96,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F097,97,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F098,98,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F099,99,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F100,100,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F101,101,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F102,102,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F103,103,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F104,104,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F105,105,CTX-03,Looming(5x5cm),test,20260822,v1
DS-005,DS005-JM-F106,106,CTX-03,Looming(5x5cm),validation,20260822,v1
DS-005,DS005-JM-F107,107,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F108,108,CTX-03,Looming(5x5cm),train,20260822,v1
DS-005,DS005-JM-F109,109,CTX-06,Optomotor Response (1x5cm),train,20260822,v1
